playerID,year,firstName,lastName,pos,tmID,GP,G,A,Pts,SOG
burroda01,1980,Dave,Burrows,D,PIT,53.0,0.0,2.0,2.0,32.0
busnimi01,1980,Mike,Busniuk,F,PHI,72.0,1.0,5.0,6.0,33.0
butleje01,1980,Jerry,Butler,R,VAN,80.0,12.0,15.0,27.0,99.0
callibr01,1980,Brett,Callighen,L,EDM,55.0,25.0,35.0,60.0,127.0
cameral01,1980,Al,Cameron,D,WIN,29.0,1.0,2.0,3.0,16.0
campbco01,1980,Colin,Campbell,D,VAN,42.0,1.0,8.0,9.0,37.0
campbsc01,1980,Scott,Campbell,D,WIN,14.0,1.0,4.0,5.0,12.0
carbogu01,1980,Guy,Carbonneau,C,MTL,2.0,0.0,1.0,1.0,1.0
carlsja01,1980,Jack,Carlson,L,MNS,43.0,7.0,2.0,9.0,24.0
carlyra01,1980,Randy,Carlyle,D,PIT,76.0,16.0,67.0,83.0,242.0
carrobi01,1980,Billy,Carroll,C,NYI,18.0,4.0,4.0,8.0,25.0
cashmwa01,1980,Wayne,Cashman,L,BOS,77.0,25.0,35.0,60.0,111.0
cassoto01,1980,Tony,Cassolato,R,WAS,2.0,0.0,0.0,0.0,1.0
chapmbl01,1980,Blair,Chapman,R,STL,55.0,20.0,26.0,46.0,114.0
charrgu01,1980,Guy,Charron,C,WAS,47.0,5.0,13.0,18.0,62.0
chartda01,1980,Dave,Chartier,C,WIN,1.0,0.0,0.0,0.0,0.0
chartri01,1980,Rick,Chartraw,D,MTL,14.0,0.0,0.0,0.0,10.0
chartri01,1980,Rick,Chartraw,D,LAK,21.0,1.0,6.0,7.0,32.0
chippro01,1980,Ron,Chipperfield,C,QUE,4.0,0.0,1.0,1.0,0.0
chornma01,1980,Marc,Chorney,D,PIT,8.0,1.0,6.0,7.0,3.0
chouigu01,1980,Guy,Chouinard,C,CAL,52.0,31.0,52.0,83.0,141.0
chrisda01,1980,Dave,Christian,R,WIN,80.0,28.0,43.0,71.0,185.0
chrismi01,1980,Mike,Christie,D,COR,1.0,0.0,0.0,0.0,1.0
chrismi01,1980,Mike,Christie,D,VAN,9.0,1.0,1.0,2.0,5.0
chrisst01,1980,Steve,Christoff,C,MNS,56.0,26.0,13.0,39.0,132.0
ciccadi01,1980,Dino,Ciccarelli,R,MNS,32.0,18.0,12.0,30.0,126.0
clackki01,1980,Kim,Clackson,D,QUE,61.0,0.0,5.0,5.0,20.0
clarkbo01,1980,Bobby,Clarke,C,PHI,80.0,19.0,46.0,65.0,150.0
clemebi01,1980,Bill,Clement,C,CAL,78.0,12.0,20.0,32.0,94.0
cloutre01,1980,Real,Cloutier,R,QUE,34.0,15.0,16.0,31.0,89.0
cochrgl01,1980,Glen,Cochrane,D,PHI,31.0,1.0,8.0,9.0,25.0
coffepa01,1980,Paul,Coffey,D,EDM,74.0,9.0,23.0,32.0,113.0
connoca01,1980,Cam,Connor,R,NYR,15.0,1.0,3.0,4.0,16.0
contijo01,1980,Joe,Contini,C,MNS,1.0,0.0,0.0,0.0,0.0
coopeed01,1980,Ed,Cooper,L,COR,47.0,7.0,7.0,14.0,52.0
coryro01,1980,Ross,Cory,D,WIN,5.0,0.0,1.0,1.0,1.0
coteal01,1980,Alain,Cote,L,QUE,51.0,8.0,18.0,26.0,65.0
craigji01,1980,Jim,Craig,G,BOS,23.0,0.0,1.0,1.0,0.0
crawfbo02,1980,Bobby,Crawford,R,COR,15.0,1.0,3.0,4.0,25.0
crhaji01,1980,Jiri,Crha,G,TOR,54.0,0.0,1.0,1.0,0.0
crombmi01,1980,Mike,Crombeen,F,STL,66.0,9.0,14.0,23.0,91.0
